id,name,slug
1,Utrecht,utrecht
2,Terneuzen,terneuzen
3,Zutphen,zutphen
4,Hattem,hattem
5,Rotterdam,rotterdam
6,Amsterdam,amsterdam
7,Castricum,castricum
8,Schiedam,schiedam
9,Aalsmeer,aalsmeer
10,De Kwakel,de-kwakel
11,Amstelveen,amstelveen
12,Ouderkerk aan de Amstel,ouderkerk-aan-de-amstel
13,Badhoevedorp,badhoevedorp
14,Leimuiderbrug,leimuiderbrug
15,Woubrugge,woubrugge
16,Nieuwveen,nieuwveen
17,Uithoorn,uithoorn
18,Nieuw-Vennep,nieuw-vennep
19,Hoofddorp Haarlemermeer,hoofddorp-haarlemermeer
20,Hoofddorp,hoofddorp
21,Boesingheliede,boesingheliede
22,Zoetermeer,zoetermeer
23,Oldenzaal,oldenzaal
24,Loon op Zand,loon-op-zand
25,Kaatsheuvel,kaatsheuvel
26,Naarden,naarden
27,Bussum,bussum
28,Huizen,huizen
29,Almere,almere
30,Eemnes,eemnes
31,Beverwijk,beverwijk
32,Capelle aan den IJssel,capelle-aan-den-ijssel
33,Nieuwerkerk aan den IJssel,nieuwerkerk-aan-den-ijssel
34,Krimpen aan den IJssel,krimpen-aan-den-ijssel
35,Ridderkerk,ridderkerk
36,Schoonhoven,schoonhoven
37,Rozenburg,rozenburg
38,Heerhugowaard,heerhugowaard
39,Alkmaar,alkmaar
40,Warmenhuizen,warmenhuizen
41,Oisterwijk,oisterwijk
42,Tilburg,tilburg
43,Venlo,venlo
44,IJmuiden,ijmuiden
45,Hilversum,hilversum
46,Baarn,baarn
47,Benthuizen,benthuizen
48,Alphen aan den Rijn,alphen-aan-den-rijn
49,Diemen,diemen
50,Best,best
51,Abcoude,abcoude
52,Zwanenburg,zwanenburg
53,Arnhem,arnhem
54,Nice,nice
55,Leiden,leiden
56,Raalte,raalte
57,Nuenen,nuenen
58,Eindhoven,eindhoven
59,Son,son
60,Helmond,helmond
61,Woerden,woerden
62,Geldermalsen,geldermalsen
63,Beesd,beesd
64,Wamel,wamel
65,Zeist,zeist
66,Leeuwarden,leeuwarden
67,Purmerend,purmerend
68,Beuningen,beuningen
69,Weert,weert
70,Barendrecht,barendrecht
71,Heinenoord,heinenoord
72,'s-Gravenzande,s-gravenzande
73,Heemskerk,heemskerk
74,Deventer,deventer
75,Twello,twello
76,Leek,leek
77,Den Haag,den-haag
78,Eibergen,eibergen
79,Tegelen,tegelen
80,Rheden,rheden
81,Velp,velp
82,Zeewolde,zeewolde
83,Bunschoten-Spakenburg,bunschoten-spakenburg
84,Putten,putten
85,Nijkerk,nijkerk
86,Hoogezand,hoogezand
87,Bodegraven,bodegraven
88,Eygelshoven,eygelshoven
89,Landgraaf,landgraaf
90,Heerlen,heerlen
91,Kerkrade,kerkrade
92,Vaals,vaals
93,Vianen,vianen
94,Vlissingen,vlissingen
95,Veere,veere
96,Zandvoort,zandvoort
97,Leersum,leersum
98,Beusichem,beusichem
99,Vught,vught
100,Groningen,groningen
101,Assen,assen
102,Veenendaal,veenendaal
103,Heemstede,heemstede
104,Zwijndrecht,zwijndrecht
105,Breda,breda
106,Almelo,almelo
107,Haaksbergen,haaksbergen
108,Enschede,enschede
109,Lelystad,lelystad
110,Borne,borne
111,Delden,delden
112,Weerselo,weerselo
113,Rijen,rijen
114,Leiderdorp,leiderdorp
115,Alblasserdam,alblasserdam
116,Oegstgeest,oegstgeest
117,Groesbeek,groesbeek
118,Barneveld,barneveld
119,Kampen,kampen
120,Sliedrecht,sliedrecht
121,Venray,venray
122,Soest,soest
123,Middelharnis,middelharnis
124,Noordwijk,noordwijk
125,Hardenberg,hardenberg
126,Voorburg,voorburg
127,Rijswijk,rijswijk
128,Emmeloord,emmeloord
129,Luttelgeest,luttelgeest
130,Marknesse,marknesse
131,Losser,losser
132,Apeldoorn,apeldoorn
133,Zaandam,zaandam
134,Waalwijk,waalwijk
135,Lisse,lisse
136,Driebergen-Rijsenburg,driebergen-rijsenburg
137,Nijmegen,nijmegen
138,Winschoten,winschoten
139,Others,others
140,Meppel,meppel
141,Didam,didam
142,Duiven,duiven
143,Elst,elst
144,Gorinchem,gorinchem
145,Velsen-Zuid,velsen-zuid
146,Voorschoten,voorschoten
147,Wassenaar,wassenaar
148,Berkel en Rodenrijs,berkel-en-rodenrijs
149,Zwolle,zwolle
150,Bergen,bergen
151,Volendam,volendam
152,Dordrecht,dordrecht
153,Emmen,emmen
154,Maarssen,maarssen
155,Oss,oss
156,Heerenveen,heerenveen
157,Tuitjenhorn,tuitjenhorn
158,Bergen op Zoom,bergen-op-zoom
159,Raamsdonk,raamsdonk
160,Oosterhout,oosterhout
161,Dongen,dongen
162,Waddinxveen,waddinxveen
163,Hillegom,hillegom
164,Stadskanaal,stadskanaal
165,Assendelft,assendelft
166,Katwijk aan Zee,katwijk-aan-zee
167,Amersfoort,amersfoort
168,Ede,ede
169,Nunspeet,nunspeet
170,Geertruidenberg,geertruidenberg
171,Naaldwijk,naaldwijk
172,Dronten,dronten
173,Hazerswoude-Dorp,hazerswoude-dorp
174,Bleiswijk,bleiswijk
175,Geldrop,geldrop
176,Urk,urk
177,Uden,uden
178,Wierden,wierden
179,Den Helder,den-helder
180,Winterswijk,winterswijk
181,Maassluis,maassluis
182,Heiloo,heiloo
183,Eersel,eersel
184,Geleen,geleen
185,Einighausen,einighausen
186,Sittard,sittard
187,Hoensbroek,hoensbroek
188,Boskoop,boskoop
189,Wageningen,wageningen
190,Noord-Scharwoude,noord-scharwoude
191,Broek op Langedijk,broek-op-langedijk
192,Hoorn,hoorn
193,Spijkenisse,spijkenisse
194,Enkhuizen,enkhuizen
195,Delft,delft
196,Budel,budel
197,Pelt,pelt
198,Heeze,heeze
199,Nederweert,nederweert
200,Valkenswaard,valkenswaard
201,Budel-Schoot,budel-schoot
202,Maarheeze,maarheeze
203,Bree,bree
204,Hamont-Achel,hamont-achel
205,Peer,peer
206,Hengelo,hengelo
207,Leusden,leusden
208,Zwaag,zwaag
209,Elburg,elburg
210,Culemborg,culemborg
211,Boxtel,boxtel
212,Steenbergen,steenbergen
213,Bergeijk,bergeijk
214,Lichtenvoorde,lichtenvoorde
215,Goes,goes
216,Drachten,drachten
217,Oud-Beijerland,oud-beijerland
218,Veendam,veendam
219,Gemert,gemert
220,Middelburg,middelburg
221,'s-Hertogenbosch,s-hertogenbosch
222,Gouda,gouda
223,Hendrik-Ido-Ambacht,hendrik-ido-ambacht
224,Dalfsen,dalfsen
225,Bennekom,bennekom
226,Brummen,brummen
227,Brunssum,brunssum
228,Haarlem,haarlem
229,Maastricht,maastricht
230,Sint-Oedenrode,sint-oedenrode
231,Sneek,sneek
232,IJsselstein,ijsselstein
233,Nieuwegein,nieuwegein
234,Tiel,tiel
235,Kraggenburg,kraggenburg
236,Swifterbant,swifterbant
237,Epe,epe
238,Staphorst,staphorst
239,Wijchen,wijchen
240,Mijdrecht,mijdrecht
241,Schijndel,schijndel
242,Zaltbommel,zaltbommel
243,Pijnacker,pijnacker
244,Papendrecht,papendrecht
245,Roermond,roermond
246,Hoogeveen,hoogeveen
247,Echten,echten
248,Rhenen,rhenen
249,Veghel,veghel
250,Harderwijk,harderwijk
251,Goirle,goirle
252,Hellevoetsluis,hellevoetsluis
253,Aalten,aalten
254,Tuk,tuk
255,Steenwijk,steenwijk
256,Tubbergen,tubbergen
257,Heinkenszand,heinkenszand
258,'s-Gravenpolder,s-gravenpolder
259,Lewedorp,lewedorp
260,Borssele,borssele
261,Harlingen,harlingen
262,Halsteren,halsteren
263,Tholen,tholen
264,Woensdrecht,woensdrecht
265,Doetinchem,doetinchem
266,Roosendaal,roosendaal
267,Gennep,gennep
268,Weesp,weesp
269,Zevenaar,zevenaar
270,Vlaardingen,vlaardingen
271,Albergen,albergen
272,Geesteren,geesteren
273,Leunen,leunen
274,Nistelrode,nistelrode
275,Stolwijk,stolwijk
276,Krimpen aan de Lek,krimpen-aan-de-lek
277,s-Gravenzande,s-gravenzande
278,Amsterdam-Zuidoost,amsterdam-zuidoost
279,Sommelsdijk,sommelsdijk
280,Koog aan de Zaan,koog-aan-de-zaan
281,Wormerveer,wormerveer
282,Nootdorp,nootdorp
283,Rhoon,rhoon
284,Poortugaal,poortugaal
285,Bredevoort,bredevoort
286,Dinxperlo,dinxperlo
287,Beneden-Leeuwen,beneden-leeuwen
288,Sprang-Capelle,sprang-capelle
289,Baarlo,baarlo
290,Steyl,steyl
291,Gilze,gilze
292,Leidschendam,leidschendam
293,Winterswijk Brinkheurne,winterswijk-brinkheurne
294,Meteren,meteren
295,Delfzijl,delfzijl
296,Appingedam,appingedam
297,Farmsum,farmsum
298,Bruchem,bruchem
299,Sassenheim,sassenheim
300,Velsen-Noord,velsen-noord
301,Velserbroek,velserbroek
302,Santpoort-Zuid,santpoort-zuid
303,Driehuis,driehuis
304,Medemblik,medemblik
305,Heukelom,heukelom
306,Moergestel,moergestel
307,Wijk bij Duurstede,wijk-bij-duurstede
308,Kapel Avezaath,kapel-avezaath
309,'t Veld,t-veld
310,Julianadorp,julianadorp
311,Delfgauw,delfgauw
312,Rijnsburg,rijnsburg
313,Bergen aan Zee,bergen-aan-zee
314,Ermelo,ermelo
315,Overdinkel,overdinkel
316,Hoogvliet Rotterdam,hoogvliet-rotterdam
317,Bergschenhoek,bergschenhoek
318,Vlijmen,vlijmen
319,Schinveld,schinveld
320,Arnemuiden,arnemuiden
321,Ovezande,ovezande
322,Beltrum,beltrum
323,Neede,neede
324,Heijen,heijen
325,Etten-Leur,etten-leur
326,Aarle-Rixtel,aarle-rixtel
327,Leerdam,leerdam
328,Aalsmeerderbrug,aalsmeerderbrug
